target,prime,rt,key,participant,prof,primetype,relationtype,primert,paikka,immersion,age,years
УМЕТЬ,умел,0.669417300028726,j,L23,aine,related,inflection,inf,labra,yes,50,10
ПОНЯТЬ,хорошо,0.717809699941427,j,L23,aine,a_unrelated,inflection,unrel,labra,yes,50,10
НАЧАТЬ,всякий,0.633779800031334,j,L23,aine,a_unrelated,inflection,unrel,labra,yes,50,10
ПИСАТЬ,черный,0.757255399948917,j,L23,aine,a_unrelated,inflection,unrel,labra,yes,50,10
РЕШИТЬ,далекий,0.726705999928527,j,L23,aine,a_unrelated,inflection,unrel,labra,yes,50,10
СЛЫШАТЬ,история,1.1898688999936,j,L23,aine,a_unrelated,inflection,unrel,labra,yes,50,10
ПОМНИТЬ,власть,1.76799490000121,j,L23,aine,a_unrelated,inflection,unrel,labra,yes,50,10
УЗНАТЬ,тысяча,0.722518300055526,j,L23,aine,a_unrelated,inflection,unrel,labra,yes,50,10
СНИМАТЬ,развитие,0.990631300024688,j,L23,aine,a_unrelated,inflection,unrel,labra,yes,50,10
СТРАДАТЬ,пострадать,0.804067199816927,j,L26,aine,related,derivation,der,labra,yes,21,5
СМОТРЕТЬ,посмотреть,0.544028399977833,j,L26,aine,related,derivation,der,labra,yes,21,5
СТОЯТЬ,постоять,0.704055299982429,j,L26,aine,related,derivation,der,labra,yes,21,5
ИГРАТЬ,поиграть,0.641841700067744,j,L26,aine,related,derivation,der,labra,yes,21,5
СТАВИТЬ,поставить,0.535389899974689,j,L26,aine,related,derivation,der,labra,yes,21,5
СЛУШАТЬ,послушать,0.543978399829939,j,L26,aine,related,derivation,der,labra,yes,21,5
ПРОСИТЬ,попросить,0.531489299843088,j,L26,aine,related,derivation,der,labra,yes,21,5
КУРИТЬ,покурить,0.541604900034145,j,L26,aine,related,derivation,der,labra,yes,21,5
СЧИТАТЬ,посчитать,0.589834999991581,j,L26,aine,related,derivation,der,labra,yes,21,5
ЖЕЛАТЬ,пожелать,0.694686400005594,j,L26,aine,related,derivation,der,labra,yes,21,5
ИСКАТЬ,поискать,0.498418100178242,j,L26,aine,related,derivation,der,labra,yes,21,5
ТЕРЯТЬ,потерять,0.55852170009166,j,L26,aine,related,derivation,der,labra,yes,21,5
ТРАТИТЬ,потратить,0.591428000014275,j,L26,aine,related,derivation,der,labra,yes,21,5
СИДЕТЬ,первый,0.59457640000619,j,L26,aine,a_unrelated,derivation,unrel,labra,yes,21,5
ДУМАТЬ,другой,0.530850399984047,j,L26,aine,a_unrelated,derivation,unrel,labra,yes,21,5
ГОВОРИТЬ,все-таки,0.662217899924144,j,L26,aine,a_unrelated,derivation,unrel,labra,yes,21,5
ЗВОНИТЬ,большой,0.506192999891937,j,L26,aine,related,derivation,der,labra,yes,21,5
ДЕРЖАТЬ,работа,0.566489299992099,j,L26,aine,a_unrelated,derivation,unrel,labra,yes,21,5
ВЕРИТЬ,самый,0.554729900090024,j,L26,aine,a_unrelated,derivation,unrel,labra,yes,21,5
