target2,prime2,rt,key,participant,primetype,relationtype,Primert
ГОВОРИТЬ,говорить,0.9706,j,Юраssic Park,identity,semantic,id
ЗАЯВИТЬ,заявить,0.9855,j,Юраssic Park,identity,semantic,id
СТРАДАТЬ,страдать,0.7909,j,Юраssic Park,identity,orthographic,id
СМОТРЕТЬ,смотреть,0.497,j,Юраssic Park,identity,orthographic,id
СТОЯТЬ,стоять,0.628,j,Юраssic Park,identity,orthographic,id
ИГРАТЬ,играть,0.6654,j,Юраssic Park,identity,orthographic,id
СТАВИТЬ,ставить,0.8771,j,Юраssic Park,identity,orthographic,id
СЛУШАТЬ,слушать,0.6323,j,Юраssic Park,identity,orthographic,id
ПРОСИТЬ,просить,0.758,j,Юраssic Park,identity,orthographic,id
МЕШАТЬ,мешать,0.5965,j,Юраssic Park,identity,orthographic,id
ТЕРПЕТЬ,терпеть,0.6684,j,Юраssic Park,identity,orthographic,id
ТЕРЯТЬ,терять,0.7216,j,Юраssic Park,identity,orthographic,id
СИДЕТЬ,сидеть,0.7412,j,Юраssic Park,identity,orthographic,id
ЧИТАТЬ,читать,0.8538,j,Юраssic Park,identity,orthographic,id
ДЕРЖАТЬ,держать,0.7442,j,Юраssic Park,identity,orthographic,id
ВЕРИТЬ,верить,0.9355,j,Юраssic Park,identity,orthographic,id
ЗВОНИТЬ,звонить,0.6053,j,Юраssic Park,identity,orthographic,id
СОЗДАТЬ,создать,0.7841,j,Юраssic Park,identity,orthographic,id
СТРОИТЬ,строить,0.6207,j,Юраssic Park,identity,orthographic,id
СОБРАТЬ,собрать,0.7153,j,Юраssic Park,identity,orthographic,id
ВЫБРАТЬ,выбрать,1.403,j,Юраssic Park,identity,orthographic,id
ТРАТИТЬ,тратить,0.6687,j,Юраssic Park,identity,orthographic,id
ЛЕТЕТЬ,лететь,0.571225,j,Keem_L2,identity,semantic,id
ЕХАТЬ,ехать,0.691015,j,Keem_L2,identity,semantic,id
СПАТЬ,спать,0.611725,j,Keem_L2,identity,semantic,id
ЖЕЛАТЬ,желать,0.60245,j,Keem_L2,identity,semantic,id
ИСКАТЬ,искать,0.520255,j,Keem_L2,identity,semantic,id
КУРИТЬ,курить,0.51614,j,Keem_L2,identity,semantic,id
ЛЮБИТЬ,любить,0.6891,j,Keem_L2,identity,semantic,id
НАЧАТЬ,начать,0.58909,j,Keem_L2,identity,semantic,id
ПИТЬ,пить,0.667745,j,Keem_L2,identity,semantic,id
СЧИТАТЬ,считать,0.869695,j,Keem_L2,identity,semantic,id
ПОМНИТЬ,помнить,0.742725,j,Keem_L2,identity,semantic,id
ПЛАКАТЬ,плакать,0.619865,j,Keem_L2,identity,semantic,id
ХВАТИТЬ,хватить,0.716365,j,Keem_L2,identity,semantic,id
ДУМАТЬ,думать,0.52695,j,Keem_L2,identity,semantic,id
СЛЫШАТЬ,слышать,0.622805,j,Keem_L2,identity,semantic,id
ВЕРНУТЬ,вернуть,0.59964,j,Keem_L2,identity,semantic,id
ПИСАТЬ,писать,0.807775,j,Keem_L2,identity,semantic,id
ГОВОРИТЬ,говорить,0.577055,j,Keem_L2,identity,semantic,id
СТРАДАТЬ,страдать,0.700925,j,Keem_L2,identity,semantic,id
СМОТРЕТЬ,смотреть,0.635095,j,Keem_L2,identity,orthographic,id
СТОЯТЬ,стоять,0.582445,j,Keem_L2,identity,orthographic,id
ИГРАТЬ,играть,0.650445,j,Keem_L2,identity,orthographic,id
СТАВИТЬ,ставить,0.56782,j,Keem_L2,identity,orthographic,id
СЛУШАТЬ,слушать,0.636005,j,Keem_L2,identity,orthographic,id
ПРОСИТЬ,просить,0.8722,j,Keem_L2,identity,orthographic,id
МЕШАТЬ,мешать,0.61922,j,Keem_L2,identity,orthographic,id
ТЕРПЕТЬ,терпеть,0.583965,j,Keem_L2,identity,orthographic,id
ТЕРЯТЬ,терять,0.536105,j,Keem_L2,identity,orthographic,id
СИДЕТЬ,сидеть,0.62238,j,Keem_L2,identity,orthographic,id
ЧИТАТЬ,читать,0.57512,j,Keem_L2,identity,orthographic,id
ДЕРЖАТЬ,держать,0.551605,j,Keem_L2,identity,orthographic,id
ВЕРИТЬ,верить,0.54208,j,Keem_L2,identity,orthographic,id
ЗВОНИТЬ,звонить,0.591795,j,Keem_L2,identity,orthographic,id
СОЗДАТЬ,создать,0.641755,j,Keem_L2,identity,orthographic,id
СТРОИТЬ,строить,0.606235,j,Keem_L2,identity,orthographic,id
СОБРАТЬ,собрать,0.577445,j,Keem_L2,identity,orthographic,id
ВЫБРАТЬ,выбрать,0.60583,j,Keem_L2,identity,orthographic,id
ТРАТИТЬ,тратить,0.59373,j,Keem_L2,identity,orthographic,id
ЛЕТЕТЬ,лететь,0.565,j,KM,identity,semantic,id
ЕХАТЬ,ехать,0.54,j,KM,identity,semantic,id
СПАТЬ,спать,0.653,j,KM,identity,semantic,id
ЖЕЛАТЬ,желать,0.668,j,KM,identity,semantic,id
ИСКАТЬ,искать,0.666,j,KM,identity,semantic,id
УБИТЬ,убить,0.616,j,KM,identity,semantic,id
КУРИТЬ,курить,0.548,j,KM,identity,semantic,id
ЛЮБИТЬ,любить,0.698,j,KM,identity,semantic,id
НАЧАТЬ,начать,0.541,j,KM,identity,semantic,id
ПИТЬ,пить,0.616,j,KM,identity,semantic,id
СЧИТАТЬ,считать,1.222,j,KM,identity,semantic,id
ПОМНИТЬ,помнить,0.957,j,KM,identity,semantic,id
ПЛАКАТЬ,плакать,0.654,j,KM,identity,semantic,id
ХВАТИТЬ,хватить,0.648,j,KM,identity,semantic,id
ДУМАТЬ,думать,0.89,j,KM,identity,semantic,id
СЛЫШАТЬ,слышать,0.598,j,KM,identity,semantic,id
ВЕРНУТЬ,вернуть,0.624,j,KM,identity,semantic,id
ПИСАТЬ,писать,0.735,j,KM,identity,semantic,id
ГОВОРИТЬ,говорить,0.532,j,KM,identity,semantic,id
СТРАДАТЬ,страдать,0.681,j,KM,identity,orthographic,id
СМОТРЕТЬ,смотреть,0.582,j,KM,identity,orthographic,id
СТОЯТЬ,стоять,0.631,j,KM,identity,orthographic,id
ИГРАТЬ,играть,0.75,j,KM,identity,orthographic,id
СТАВИТЬ,ставить,0.635,j,KM,identity,orthographic,id
СЛУШАТЬ,слушать,0.631,j,KM,identity,orthographic,id
ПРОСИТЬ,просить,0.648,j,KM,identity,orthographic,id
МЕШАТЬ,мешать,0.598,j,KM,identity,orthographic,id
ТЕРПЕТЬ,терпеть,0.936,j,KM,identity,orthographic,id
ТЕРЯТЬ,терять,0.899,j,KM,identity,orthographic,id
СИДЕТЬ,сидеть,0.684,j,KM,identity,orthographic,id
ЧИТАТЬ,читать,0.576,j,KM,identity,orthographic,id
ДЕРЖАТЬ,держать,0.615,j,KM,identity,orthographic,id
ВЕРИТЬ,верить,0.62,j,KM,identity,orthographic,id
ЗВОНИТЬ,звонить,0.681,j,KM,identity,orthographic,id
СОЗДАТЬ,создать,0.902,j,KM,identity,orthographic,id
СТРОИТЬ,строить,0.765,j,KM,identity,orthographic,id
СОБРАТЬ,собрать,1.223,j,KM,identity,orthographic,id
ВЫБРАТЬ,выбрать,1.031,j,KM,identity,orthographic,id
ТРАТИТЬ,тратить,0.715,j,KM,identity,orthographic,id
